,TOTAL,HEART,CANCER,STROKE,RESPIR,ACCID,VEHICLE,DIABETES,ALZHEIM,FLU,NEPHRITIS,SUICIDE,HOMICIDE,AIDS,TTLPOP(K),POP<18(K),POP>65(K),RRLPOP(K)
Alabama,1018.1,282,215.4,65.9,52.1,53,27.8,32,30.6,21.9,23.2,11.9,8.1,4.6,4548,1107,606,1981
Alaska,465.5,89.9,111.1,26.2,21.2,49.7,18.2,14.2,7.3,6.4,3.5,23.6,6.3,(S),663,183,44,216
Arizona,752.1,183.5,167.4,42.6,42.1,48.2,19.6,20.8,29.2,19.3,11,15.3,8.9,2.8,5953,1575,763,607
Arkansas ,1000.1,273.7,229,70.8,51.9,51.1,28.3,30.4,22.6,27.6,20.4,13.1,7.7,2.8,2776,684,385,1269
California,647.8,181.1,149.6,47,34.9,29.6,12.3,19.8,19.4,20.4,6.6,9.4,6.9,3.8,36154,9533,3868,1882
Colorado,615.2,132.1,134.7,35.6,41.3,39.3,15.2,15.1,19.8,13.8,8.8,17.3,4.8,1.9,4663,1154,465,668
Connecticut,836.7,224.6,204.8,46.7,40.9,36,9.6,21.9,19.5,24.8,17.2,8.4,3.1,5.4,3501,831,470,418
Delaware,860.2,242.7,220,42.2,41.5,35.4,17,25.3,18.7,17.5,15.4,11.2,4.2,7,842,202,112,156
District of Columbia,985.3,278.9,208.1,39.4,29.8,39.6,8.3,40.5,21.5,16.4,14.3,6,31.4,42.6,582,116,71,0
Florida,971.5,271.1,229,55.8,51.6,47.3,18.9,27.6,24.8,17.5,12.9,13.7,5.9,9.9,17768,3968,2986,1712
Georgia ,745.4,187.5,162.1,46,35.4,41.5,17,18.4,19.4,17.5,16.5,11,7.5,7.9,9133,2400,885,2322
Hawaii,715.1,194.6,165.3,56.5,24.3,30.9,11.2,15.4,13.5,18.7,13,9.2,2.5,1.8,1273,299,175,103
Idaho,719.7,175.8,159.8,51.1,41.1,42.6,17.9,24.7,24.6,15.7,7.8,16.9,2.2,(S),1429,387,164,434
Illinois,807.6,222.5,191,51,37.1,32.5,11.9,24.1,20.4,21.9,18.4,8.1,6.9,3.3,12765,3225,1526,1510
Indiana,869.1,234.6,201.2,55.4,50.4,38.4,16.1,26.8,24.9,18.2,19.9,11.3,5.3,1.8,6266,1573,777,1776
Iowa,910.4,247.1,214.6,66.3,52.4,37.5,14.1,23.7,32.8,30.1,9,11.6,1.9,0.9,2966,710,435,1139
Kansas,870.7,221.1,194.2,58.9,48.1,41.8,18.3,25.2,28.1,20.5,20.3,13.5,4.3,1,2748,696,356,768
Kentucky,932.1,252.4,220.9,56.4,54.6,54.5,23.9,28.8,23.7,23.3,19.9,13.5,5.5,1.6,4173,996,528,1788
Louisiana,934.8,240.3,208.9,55.1,35.8,50.9,22.6,38,28.1,20.2,24.6,11.9,13.3,8.7,4507,1168,532,1223
Maine ,944.6,223.8,237.2,60.8,58.2,36.4,13.7,29,38.9,23.4,20,13,1.6,(S),1318,285,191,762
Maryland,777.8,204.1,182.9,48.9,34.4,25.4,12.1,25.5,16.3,20,12.6,9,9.6,10,5590,1370,642,738
Massachusetts ,849.5,215.4,207.9,50.7,40.1,21.3,8.3,20.7,26.1,30.5,19.5,6.6,2.7,3.3,6433,1463,856,548
Michigan,842.2,245.5,194.3,52.3,42,32.8,12.9,29.2,22.1,19.4,14.9,10.9,6.7,2.1,10101,2509,1253,2519
Minnesota,726.0,154.7,178.3,49.8,36.1,36.6,12.8,22.2,24.1,14.7,13.1,10.3,2.6,1,5127,1261,621,1429
Mississippi,960.1,285.3,206.1,56.9,46.5,58.7,31.5,22.9,21.7,21.9,22.8,12.1,9.7,5.6,2908,762,358,1457
Missouri,937.5,269.3,216.3,60.9,47.5,47.4,19.3,25.4,24,24.1,18.8,12.4,6.4,2.5,5798,1415,773,1712
Montana ,873.3,198.3,201.4,52.2,62.4,57.7,26,25.6,24.6,17.8,11.7,18.9,2.7,(S),935,219,129,414
Nebraska,838.9,213.9,187.2,56,46.6,42.5,16.1,22.6,26.3,19.9,16.2,9.5,2.2,(S),1758,445,233,518
Nevada,767.9,201,176.4,44.1,48.1,43.7,18.1,12.4,12.5,17.2,18.2,18.8,8,3.4,2412,614,269,170
New Hampshire,778.1,203.1,196.5,45.1,46.2,34.2,12.7,24.1,25.5,20.9,12.5,10.2,1.8,(S),1307,302,160,503
New Jersey ,820.5,236.4,197.8,43.5,34.8,26.7,8.9,29.8,19.7,18.2,18.7,6.9,4.7,7.7,8703,2106,1125,475
New Mexico ,751.2,171.5,159.5,37.9,39.6,64.3,25.2,31,17.2,16.2,11.9,18.7,9.1,1.2,1926,506,236,456
New York ,794.1,272.9,187.8,36,35.3,23.6,8.2,20.4,10.3,28.6,12.4,6.2,4.5,9,19316,4566,2515,2374
North Carolina,847.5,206.1,192.9,58,42.4,47.1,19.8,26.4,25.6,19.7,17.2,12,7.2,4.8,8672,2113,1055,3200
North Dakota,882.9,231.7,199.4,74.9,43,43.2,18.4,32.9,49.3,23.3,8.7,11.5,(S),(S),635,146,93,283
Ohio,927.5,253.8,217.6,56.7,51.5,36.9,12.1,31.5,25.5,19.2,16.5,11.5,4.9,1.5,11471,2791,1528,2571
Oklahoma,978.6,293.3,206.3,62,56.3,55.3,21.7,32.3,24.6,23,16,14.4,6.3,2.1,3543,886,469,1196
Oregon,843.3,187.1,201.3,64.8,49.5,40.2,13.9,29.9,35.1,15.5,8.6,15.4,3.1,1.8,3639,850,469,727
Pennsylvania ,1028.8,293.7,237.2,62.8,48.2,41.9,12.9,28.8,26.4,23.7,24.7,11.4,5.5,3.8,12405,2821,1888,2817
Rhode Island,904.0,274.7,223.8,48.3,42.8,27.6,9.2,25.9,26.2,24.1,12.1,7.9,2.7,2.6,1074,242,149,95
South Carolina,887.9,218.7,198.9,63,42.7,49.9,24.6,27.8,29.7,18.3,19.5,11.5,7.7,6.4,4247,1030,537,1585
South Dakota,886.4,231.3,201.7,60.8,50.7,54,24.5,29.7,31.5,23.2,11.9,14.5,3.1,(S),775,195,110,363
Tennessee,946.1,254.8,213.3,62.4,50.6,53.5,23.5,31.9,27.4,26.6,11.5,13.4,7.1,4.9,5956,1428,753,2069
Texas,679.7,178.7,150.9,43.8,32.9,37,17.2,24.2,19.3,14.3,11.4,10.2,6.3,4.7,22929,6338,2279,3648
Utah ,558.0,123.1,102.3,33.1,24.9,29.2,13.4,20.3,15.7,16.1,9.8,15.8,1.9,1.3,2490,775,218,263
Vermont,803.8,207.4,195,48.6,47.6,40.7,13.4,24.1,27.8,13.8,9.2,15,(S),(S),622,136,82,376
Virginia,758.1,191.5,179.4,50.8,36.6,35.3,13.6,21.5,19.8,19.4,16.7,11.1,5.4,3.1,7564,1803,868,1909
Washington,721.7,171.6,177.1,52.3,41.1,37.7,10.8,24.3,36,11.9,5.6,13.4,3.5,2,6292,1520,721,1063
West Virginia,1145.4,312.6,258.6,64.9,67.5,61.1,22.8,46.3,27.2,26.1,24.8,15.7,4.4,1.7,1814,389,278,976
Wisconsin,827.7,216.2,197.1,55.7,42,41.8,14.8,23.8,25.8,20.7,16.8,12,2.7,0.9,5528,1321,719,1700
Wyoming,780.8,187.6,172.7,42.2,60.8,18,23.9,21.7,20.7,21.5,8.9,17.4,(S),(S),509,122,62,172
